relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
서스에칭,< 10,< 10,0.4,0.0,5.89,0.0,3,높음
아이디어제품개발,10,< 10,0.2,0.0,2.5,0.0,15,높음
CNC밀링,530,660,2.7,13.0,0.58,2.14,15,중간
PVCPIPE,170,60,2.1,0.0,1.3,0.0,15,중간
대구CNC,40,50,0.4,0.3,1.04,0.73,9,중간
제품모델링,40,20,0.1,0.0,0.36,0.0,15,높음
청주3D,< 10,20,0.2,0.0,2.64,0.0,13,중간
3D설계도면,20,20,0.0,0.0,0.0,0.0,3,높음
금속3D프린팅,130,60,2.9,2.8,2.35,5.0,14,높음
ABS3D프린팅,< 10,< 10,0.7,0.0,8.34,0.0,3,높음
NC가공,360,320,3.5,3.3,1.03,1.06,15,높음
기어가공업체,20,20,1.0,0.7,3.88,2.78,10,중간
철판커팅,30,30,0.3,0.0,1.02,0.0,3,높음
파이프거치대,60,120,0.3,1.1,0.65,0.87,3,높음
거치대케이스,60,590,0.9,3.8,1.52,0.69,14,중간
폴리카보네이트성형,10,< 10,1.7,0.3,8.43,3.71,10,중간
제품개발설계,70,60,2.2,0.7,3.19,1.12,15,높음
3D프린팅피규어제작,< 10,< 10,0.3,0.7,33.34,33.34,3,높음
플라스틱패널,30,70,0.3,0.0,1.29,0.0,3,높음
3D프린터대행업체,30,10,2.0,0.0,6.88,0.0,14,높음
렌더링,4320,4920,1.6,3.3,0.04,0.08,15,높음
경남3D프린터,< 10,< 10,0.0,0.3,0.0,5.56,3,높음
부산목업,< 10,< 10,0.9,0.3,22.65,33.34,13,중간
3D프린터SLA,130,90,1.5,1.0,1.22,1.13,15,높음
파이프제작,80,100,2.1,3.3,2.62,3.74,15,높음
자동선반가공,20,< 10,1.5,0.0,8.0,0.0,14,높음
졸업작품,690,860,4.3,15.3,0.67,1.94,15,중간
3D프린팅사업,20,10,0.0,0.0,0.0,0.0,6,중간
